quarter,kix_index,exchange_rate_growth
2014K2,105.80262670329671,2.49398119470321
2014K3,108.69045097826087,2.692859660293845
2014K4,109.52752358695652,0.7671931847948343
2015K1,112.95333466666666,3.079889123594004
2015K2,113.41286252747253,0.4060045163442716
2015K3,112.73689402173913,-0.5978078678139376
2015K4,111.08387869565217,-1.4771152484540195
2016K1,109.57228945054945,-1.3701070801144688
2016K2,109.24386010989011,-0.3001877036492573
2016K3,112.09918260869566,2.580140639600348
2016K4,115.57316673913043,3.051976923479671
2017K1,113.21267844444445,-2.063564776993587
2017K2,114.40769362637363,1.0500168773049268
2017K3,110.81672065217391,-3.189065732239804
2017K4,113.19113217391305,2.1200153673468947
2018K1,114.43914277777777,1.0965352557450458
2018K2,118.9237110989011,3.843902675561761
2018K3,118.96151673913043,0.03178477359959686
2018K4,118.29625228260869,-0.5607961355857505
2019K1,120.08153266666666,1.4978860249379444
2019K2,122.46905626373626,1.968744519002552
2019K3,122.79884358695652,0.26892024775166945
2019K4,122.86680304347826,0.05532679003952268
2020K1,122.61510131868133,-0.20506750887161473
2020K2,120.75480186813186,-1.5288132670191246
2020K3,116.00024684782609,-4.01697396632601
2020K4,114.69862032608695,-1.128432358289011
2021K1,113.44338477777778,-1.1004095577202833
2021K2,113.88043648351648,0.3845195297325077
2021K3,114.96067413043478,0.9441010557190488
2021K4,115.00227217391304,0.036178040506484876
2022K1,119.09422522222222,3.496310218450116
2022K2,119.35230516483516,0.21646785379560995
2022K3,121.76848293478261,2.0041894068726585
2022K4,123.94254097826087,1.7696518010867912
2023K1,125.57611422222222,1.309398355475544
2023K2,127.39328945054945,1.43670061192811
2023K3,130.0675914130435,2.0775180605072663
2023K4,126.84184673913043,-2.5113240123300073
2024K1,124.68482076923077,-1.7151889871694692
2024K2,126.94308450549451,1.7949713219500119
2024K3,125.58181391304348,-1.0781382643234139
2024K4,126.69218076086956,0.8802920963590921
2025K1,124.0646111111111,-2.0957883578647696
2025K2,118.42426131868132,-4.652887600454214
2025K3,119.09411228260869,0.5640428819724264
2025K4,117.26013630434782,-1.5519186117963102
2026K1,114.89223166666666,-2.0400280893120737
2026K2,117.4966434065934,2.2415193370217246
2026K3,119.3520459322034,1.5667728503226286
